IndicatorCode,IndicatorName,Language
AIR_10,Ambient air pollution  attributable DALYs per 100'000 children under 5 years,EN
AIR_11,Household air pollution attributable deaths,EN
AIR_12,Household air pollution attributable deaths in children under 5 years,EN
AIR_13,Household air pollution attributable deaths per 100'000 capita,EN
AIR_14,Household air pollution  attributable deaths per 100'000 children under 5 years,EN
AIR_15,Household air pollution attributable DALYs,EN
AIR_16,Household air pollution attributable DALYs in children under 5 years,EN
AIR_17,Household air pollution attributable DALYs (per 100 000 population),EN
AIR_39,"Household air pollution attributable DALYs (per 100 000, age-standardized)",EN
AIR_4,Ambient air pollution attributable deaths in children under 5 years,EN
AIR_41,Ambient air pollution attributable deaths,EN
AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",EN
AIR_43,Ambient air pollution attributable DALYs,EN
AIR_44,DALYs attributable to ambient air pollution (age-standardized),EN
AIR_45,Ambient air pollution attributable YLLs,EN
AIR_46,YLLs attributable to ambient air pollution (age-standardized),EN
AIR_5,Ambient air pollution attributable death rate (per 100 000 population),EN
AIR_51,Household air pollution attributable death rate (per 100 000 population),EN
AIR_52,"Household air pollution attributable death rate (per 100 000 population, age-standardized)",EN
AIR_6,Ambient air pollution  attributable deaths per 100'000 children under 5 years,EN
AIR_7,Ambient air pollution attributable DALYs,EN
AIR_8,Ambient air pollution attributable DALYs  in children under 5 years,EN
AIR_9,Ambient air pollution attributable DALYs  (per 100 000 population),EN
AIR_90,"Ambient air pollution attributable DALYs  (per 100 000 population, age-standardized)",EN
AMRGLASS_COORD01,Functioning national AMR surveillance plan,EN
AMRGLASS_COORD02,Establishment of National Coordination Centre (NCC),EN
AMRGLASS_COORD03,Nomination of National Focal Point (NFP),EN
AMRGLASS_COORD04,Establishment of national reference laboratory (NRL),EN
AMRGLASS_QA01,EQA provided to the national reference laboratory (NRL),EN
AMRGLASS_QA02,EQA provided for bacterial identification and AST,EN
AMRGLASS_QA03,EQA provided to local laboratories participating in GLASS,EN
AMRGLASS_QA04,GLASS pathogens testing covered by EQA,EN
AMRGLASS_QA05,Types of AST standards followed by countries,EN
AMRGLASS_SURVL01,Number of national surveillance sites in each country providing data to GLASS: hospital category,EN
AMRGLASS_SURVL02,Number of National surveillance sites in each country providing data to GLASS: outpatient facility category,EN
AMRGLASS_SURVL03,Number of local clinical laboratories in each country performing AST to support national AMR surveillance sites,EN
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%,EN
anc15,Antenatal care coverage - at least one visit (in the five years preceding the survey) (%),EN
anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),EN
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),EN
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),EN
ASSISTIVETECH_METNEED,Prevalence of met need of assistive products (%),EN
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),EN
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),EN
BP_05,Mean systolic blood pressure (crude estimate),EN
BP_06,Mean systolic blood pressure (age-standardized estimate),EN
Camp_airtime,Process evaluation was employed to assess implementation,EN
Camp_aud_research,Formative research was conducted,EN
Camp_eval_impact,Outcome evaluation was employed to assess effectiveness,EN
Camp_gov_prog,Campaign was part of a comprehensive tobacco control programme,EN
Camp_mat_tested,Campaign was pre-tested,EN
Camp_media_planning,Campaign utilized media planning,EN
Camp_nat,At least one national mass media campaign ran during the survey period,EN
Camp_news,Earned media/public relations were used to promote the campaign,EN
Camp_tv_radio,Campaign aired on television and/or radio,EN
carep,Children aged < 5 years with pneumonia symptoms taken to a health facility (%),EN
CaseCS,Congenital syphilis number of reported cases,EN
CATARACTSURGICAL,Cataract surgical coverage of adults aged 50 and over (%),EN
CATARACTSURGICALEFFECTIVE,Effective cataract surgical coverage of adults aged 50 and over (%),EN
CC_1,Climate change attributable deaths,EN
CC_2,Climate change attributable DALYs ('000),EN
CC_3,Climate change attributable deaths per 100'000 capita,EN
CC_4,Climate change attributable DALYs per 100'000 capita,EN
CC_5,Climate change attributable deaths ('000) in children under 5 years,EN
CC_6,Climate change  attributable deaths per 100'000 children under 5 years,EN
CC_7,Climate change attributable DALYs ('000) in children under 5 years,EN
CC_8,Climate change  attributable DALYs per 100'000 children under 5 years,EN
cci,Composite coverage index (%),EN
cci2030,Composite coverage index (%),EN
CCO_1,Poverty headcount ratio at $1.25 a day (PPP) (% of population),EN
CCO_2,Human development index rank,EN
CCO_3,Gender inequality index rank,EN
CHILDMORT5TO14,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),EN
CHOLERA_0000000001,Number of reported cases of cholera,EN
CHOLERA_0000000002,Number of reported deaths from cholera,EN
CHOLERA_0000000003,Cholera case fatality rate,EN
CM_01,Number of under-five deaths,EN
CM_02,Number of infant deaths,EN
CM_03,Number of neonatal deaths,EN
cpmt,Contraceptive prevalence - modern and traditional methods (%),EN
csection,Births by caesarean section (in the two or three years preceding the survey) (%),EN
csection5,Births by caesarean section (in the five years preceding the survey) (%),EN
DEVICES00,Total density per 100 000 population: Hospitals,EN
DEVICES01,Total density per 100 000 population: Health posts,EN
DEVICES02,Total density per 100 000 population: Health centres,EN
DEVICES03,Total density per 100 000 population: District/rural hospitals,EN
DEVICES04,Total density per 100 000 population: Provincial hospitals,EN
DEVICES05,Total density per 100 000 population: Specialized hospitals,EN
DEVICES06,Availability of national standards or recommended lists of medical devices,EN
DEVICES07,Types of lists recommending health technology for high burden diseases,EN
DEVICES08,Total density per million population: Magnetic Resonance Imaging,EN
DEVICES09,Total density per million population: Computed tomography units,EN
DEVICES10,Total density per million population: Positron Emission tomography,EN
DEVICES11,Total density per million population: Gamma camera or Nuclear medicine,EN
DEVICES12,Total density per million population: Linear Accelerator,EN
DEVICES13,Type of nomenclature system,EN
DEVICES14,Use of nomenclature system,EN
DEVICES15,Health technology (medical device) national policy,EN
DEVICES16,Unit in the Ministry of Health responsible for the management of medical devices,EN
DEVICES17,Procurement of medical devices carried out at the national level,EN
DEVICES18,Availability of national list of approved medical devices for procurement or reimbursement,EN
DEVICES19,"National guidelines, policies or recommendations on the procurement of medical devices",EN
DEVICES20,Availability of technical specifications of medical devices to support procurement or donations,EN
DEVICES21,Total density per million population: Telecobalt Unit,EN
DEVICES22,Total density per million population: Radiotherapy units,EN
DEVICES23,Total density per million females aged from 50 to 69 years old: Mammography units,EN
E_Group,"Enforcing bans on tobacco advertising, promotion and sponsorship",EN
E1_compliance,Compliance of ban on advertising on national TV and radio,EN
E1_nat_tv_radio,Ban on advertising: National TV and radio,EN
E10_compliance,Compliance of ban on promotional discounts,EN
E10_promo_discounts,Ban on promotional discounts,EN
E11_brand_stretching,Ban on non-tobacco goods AND services identified with tobacco brand names,EN
E11_compliance,Compliance of ban on non-tobacco goods AND services identified with tobacco brand names,EN
E12_brand_sharing,Ban on brand name of non-tobacco products used for tobacco product,EN
E12_compliance,Compliance of ban on brand name of non-tobacco products used for tobacco product,EN
E13_brand_placement,Ban on appearance of tobacco brands in TV and/or films (product placement),EN
E13_compliance,Compliance of ban on appearance of tobacco brands in TV and/or films (product placement),EN
E14_compliance,Compliance of ban on appearance of tobacco products in TV and/or films,EN
E14_prod_tv_films,Appearance of tobacco products in TV and/or films,EN
E14a_prod_tv_films,Ban on appearance of tobacco products in TV and/or films,EN
E14b_movies_anti_tob_ads,"Requirement to present prescribed anti-tobacco ads before, during or after the broadcasting or showing of any visual entertainment media product that depicts tobacco products, use or images",EN
E15_compliance,Compliance of ban on sponsored events,EN
E15_sponsored_events,Sponsored events,EN
E15a_sponsorship,Complete ban on sponsorship,EN
E15b_sponsor_contribution,"Ban on any form of contribution (financial or other support) to any event, activity or individual",EN
E15c_sponsor_publicity,"Banning the publicity of financial or other sponsorship or support by the tobacco industry of events, activities, individuals",EN
E16_csr_promo_self,Ban on tobacco companies/tobacco industry publicizing their “Corporate Social Responsibility” activities,EN
E17_csr_promo_others,Ban on entities other than tobacco companies/tobacco industry publicizing the Corporate Social Responsibility activities of the tobacco companies,EN
E18_csr_anti_tobacco_media,"Ban on tobacco companies funding or making contributions (including in-kind contributions) to smoking prevention media campaigns, including those directed at youth",EN
E19_movies_anti_tob_ads,"Required anti-tobacco ads for any visual entertainment media product that depicts tobacco products, use or images",EN
E2_intl_tv_radio,"Ban on advertising: International TV and radio (broadcast from abroad, including satellite)",EN
E21_vending_machines,Complete ban on tobacco vending machines,EN
E22_subnational_exists,"Subnational bans on tobacco advertising, promotion and sponsorship",EN
E23_subnat_complete_bans_exist,"Subnational advertising, promotion and sponsorship bans - at least one jurisdiction has a comprehensive ban in place",EN
E24_internet_sales_ban,Ban on internet sales of tobacco products,EN
E25_ban_display_pt_of_sale,Ban on display of tobacco products at points of sale,EN
E26_direct_ad_fines,Law requires fines for violations of direct advertising bans,EN
E27_indirect_ad_fines,Law requires fines for violations of indirect advertising bans,EN
E3_compliance,Compliance of ban on advertising on local magazines and newspapers,EN
E3_nat_print,Ban on advertising: Local magazines and newspapers,EN
E4_intl_print,Ban on advertising: International magazines and newspapers,EN
E5_billboards,Ban on advertising: Billboards and outdoor advertising,EN
E5_compliance,Compliance of ban on advertising on billboards and outdoor advertising,EN
E6_compliance,Compliance of ban on advertising at point of sale,EN
E6_pt_of_sale,Ban on advertising: Point of sale,EN
E6b_ban_display_pt_of_sale,Ban on display of tobacco products at points of sale,EN
E7_internet,Ban on advertising: Internet,EN
E9_compliance,Compliance of ban on free distribution of tobacco products in the mail or through other means,EN
E9_free_distrib,Ban on free distribution of tobacco products in the mail or through other means,EN
EC_direct_compliance,Compliance with bans on direct advertising,EN
EC_indirect_compliance,Compliance with bans on promotion and sponsorship,EN
EMFLIMITELECTRIC,Electric field (kV/m),EN
EMFLIMITELECTRICLF,Electric field (kV/m),EN
EMFLIMITELECTRICRF,Electric field (V/m),EN
EMFLIMITMAGNETIC,Magnetic flux density (microT),EN
EMFLIMITPOWERDENSITY,Power density (W/m^2),EN
EMFPOWERFREQUENCY,Power frequency (Hz),EN
EMFSAR,Specific absorption rate (SAR) (W/kg),EN
EMFSTANDARD,Existence of standards,EN
EMFSTATUS,Legislative status,EN
FINPROTECTION_CATA_ESTIMATE_AVAILABLE,Availability of estimates on large  health expenditures as a share of total expenditure or income,EN
FINPROTECTION_CATA_TOT_10_LEVEL_MILLION,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, estimated data) (millions)",EN
FINPROTECTION_CATA_TOT_10_LEVEL_SH,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, estimated data) (%)",EN
FINPROTECTION_CATA_TOT_10_POP,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)",EN
FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,"Population with household spending on health greater than 25% of total household budget (SDG 3.8.2, estimated data) (millions)",EN
FINPROTECTION_CATA_TOT_25_LEVEL_SH,"Population with household spending on health greater than 25% of total household budget (SDG 3.8.2, estimated data) (%)",EN
FINPROTECTION_CATA_TOT_25_POP,"Population with household spending on health greater than 25% of total household budget (SDG 3.8.2, reported data) (%)",EN
FINPROTECTION_IMP_NP_190_LEVEL_MILLION,Total population  pushed below the $1.90 a day  poverty line by household  health expenditures (millions),EN
FINPROTECTION_IMP_NP_190_LEVEL_SH,Total population  pushed below the $1.90 a day  poverty line by household  health expenditures (%),EN
FINPROTECTION_IMP_NP_310_LEVEL_MILLION,Total population  pushed below the $3.10 a day  poverty line by household  health expenditures (millions),EN
FINPROTECTION_IMP_NP_310_LEVEL_SH,Total population  pushed below the $3.10 a day  poverty line by household  health expenditures (%),EN
FINPROTECTION_IMP_NP190_POP,Population  pushed below the $1.90 a day  poverty line by household  health expenditures (%),EN
FINPROTECTION_IMP_NP310_POP,Population  pushed below the $3.10 a day  poverty line by household  health expenditures (%),EN
FINPROTECTION_IMP_PG_190_STD,"Increase in poverty gap due to household  health expenditures, expressed as a proportion of the $1.90 a-day poverty line (%)",EN
FINPROTECTION_IMP_PG_310_STD,"Increase in poverty gap due to household  health expenditures, expressed as a proportion of the 3.10 a-day poverty line (%)",EN
FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,Availability of estimates on impoverishment due to out-of-pocket health expenditures,EN
fps,Demand for family planning satisfied - modern and traditional methods (%),EN
fpsmo,Demand for family planning satisfied - modern methods (%),EN
GBD_DALYRTAGE,"Age-standardized DALYs (per 100,000)",EN
GDO_q10x1,National regulator approval of anti-dementia medication,EN
GDO_q10x1x1,Availability of generic anti-dementia medication,EN
GDO_q10x1x2,Availability of at least one anti-dementia medication approved for on-label use reimbursement,EN
GDO_q10x2_1AVAIL,Availability of atleast one adult hygiene products for people with dementia,EN
GDO_q10x2_HOSUE,Availability of atleast one housing adjustment for people with dementia,EN
GDO_q10x2_TECH,Availability of  atleast one assistive technology for people with dementia,EN
GDO_q11x1,Existence of dementia national nongovernmental organization,EN
GDO_q11x2x1,Dementia nongovernmental organization equipped with office,EN
GDO_q11x2x2_1,Dementia nongovernmental organization office branches (Sub-national),EN
GDO_q11x2x2_2,Dementia nongovernmental organization office branches (Local),EN
GDO_q11x2x2_3,Dementia nongovernmental organization office branches (National only),EN
GDO_q11x2x3,Dementia nongovernmental organization staff primarily salaried/volunteer,EN
GDO_q11x2x5,Provision of governmental funding to dementia nongovernmental organization for activities/services,EN
GDO_q11x2x6,Dementia nongovernmental organization's involvement in policy development,EN
GDO_q12x1,Existence of dementia carer support services,EN
GDO_q12x1x1,Implementation level [national/subnational] of dementia carer support services,EN
GDO_q12x1x2,Existence of dedicated resources for dementia carer support services,EN
GDO_q12x1x3,Existence of implementation plan for dementia carer support services,EN
GDO_q12x2_2,Existence of psycho-social supports for dementia carers,EN
GDO_q12x2_3,Existence of respite care for dementia carers,EN
GDO_q12x2_4,Existence of information on legal rights for dementia carers,EN
GDO_q12x2_5,Existence of financial benefits/social protection for dementia carers,EN
GDO_q12x2x1x1_1,"Accessibility of dementia carer training and education [Capital/capital and main cities/capital, main cities, rural areas]",EN
GDO_q12x2x1x1_1NGO,Majority provider of dementia carer training and education (NGO),EN
GDO_q12x2x1x1_1PRV,Majority provider of dementia carer training and education (Private sector),EN
GDO_q12x2x1x1_1PUB,Majority provider of dementia carer training and education (Public sector),EN
GDO_q12x2x1x1_2,"Accessibility of psycho-social supports for dementia carers [Capital/capital and main cities/capital, main cities, rural areas]",EN
GDO_q12x2x1x1_2NGO,Majority provider of psycho-social supports for dementia carers (NGO),EN
GDO_q12x2x1x1_2PRV,Majority provider of psycho-social supports for dementia carers (Private sector),EN
GDO_q12x2x1x1_2PUB,Majority provider of psycho-social supports for dementia carers (Public sector),EN
GDO_q12x2x1x1_3,"Accessibility of respite care for dementia carers [Capital/capital and main cities/capital, main cities, rural areas]",EN
GDO_q12x2x1x1_3NGO,Majority provider of respite care for dementia carers (NGO),EN
GDO_q12x2x1x1_3PRV,Majority provider of respite care for dementia carers (Private sector),EN
GDO_q12x2x1x1_3PUB,Majority provider of respite care for dementia carers (Public sector),EN
GDO_q12x2x1x1_4,"Accessibility of information on legal rights for dementia carers [Capital/capital and main cities/capital, main cities, rural areas]",EN
GDO_q12x2x1x1_4NGO,Majority provider of information on legal rights for dementia carers (NGO),EN
GDO_q12x2x1x1_4PRV,Majority provider of information on legal rights for dementia carers (Private sector),EN
GDO_q12x2x1x1_4PUB,Majority provider of information  on legal rights for dementia carers (Public sector),EN
GDO_q12x2x1x1_5,"Accessibility of financial benefits/social protection for dementia carers [Capital/capital and main cities/capital, main cities, rural areas]",EN
GDO_q12x2x1x1_5NGO,Majority provider of information on financial benefits/social protection for dementia carers (NGO),EN
GDO_q12x2x1x1_5PRV,Majority provider of information on financial benefits/social protection for dementia carers (Private sector),EN
GDO_q12x2x1x1_5PUB,Majority provider of information  on financial benefits/social protection for dementia carers (Public sector),EN
GDO_q12x2x1x3,Estimated number of dementia carers receiving training and education,EN
GDO_q12x2x2x3,Estimated number of dementia carers receiving psycho-social supports,EN
GDO_q12x2x3x3,Estimated number of dementia carers receiving respite care,EN
GDO_q12x2x4x3,Estimated number of dementia carers receiving information on legal rights,EN
GDO_q12x2x5x3,Estimated number of dementia carers receiving financial benefits/social protection,EN
GDO_q13x1,Existence of at least one functioning dementia awareness campaign,EN
GDO_q13x1x1,Implementation level [national/subnational] of dementia awareness campaign,EN
GDO_q13x3,Existence of at least one functioning risk reduction campaign,EN
GDO_q13x3x1,Implementation level [national/subnational] of dementia risk reduction campaign,EN
GDO_q14x1,Availability of dementia-friendly initiatives that improve accessibility,EN
GDO_q14x2_1,Existence of dementia-friendly initiative to improve accessibility of public spaces,EN
GDO_q14x2_2,Existence of dementia-friendly initiative to improve accessibility of public transportation,EN
GDO_q14x2_3,Existence of dementia-friendly initiative for assistance with home modification,EN
GDO_q14x2_4,Existence of dementia-friendly initiative with assistive technology for loss of capacity,EN
GDO_q14x2_5,Existence of dementia-friendly initiative supporting community places for older people,EN
GDO_q14x2_6,Existence of dementia-friendly initiative supporting social opportunities,EN
GDO_q15x1,Inclusion of dementia training and education for non-health workers,EN
GDO_q15x2_1,Existence of dementia training for volunteers,EN
GDO_q15x2_2,Existence of dementia training for police and fire services,EN
GDO_q15x2_3,Existence of dementia training for first responders,EN
GDO_q15x2_4,Existence of dementia training for legal professionals,EN
GDO_q15x2_5,Existence of dementia training for community workers,EN
GDO_q15x2_6,Existence of dementia training for school children,EN
GDO_q15x2_7,Existence of dementia training for financial service staff,EN
GDO_q15x2_8,Existence of dementia training for retail and hospitality staff,EN
GDO_q16x1,Routine monitoring of people with dementia,EN
GDO_q16x1x1_1,Data sources used to routinely monitor people with dementia (Clinical records),EN
GDO_q16x1x1_2,Data sources used to routinely monitor people with dementia (Household surveys),EN
GDO_q16x1x1_3,Data sources used to routinely monitor people with dementia (Administrative data),EN
GDO_q16x1x1_4,Data sources used to routinely monitor people with dementia (Facility survey or records),EN
GDO_q16x1x1_other,Data sources used to routinely monitor people with dementia (Other),EN
GDO_q16x1x2_1,Electronic availability of data sources used to routinely monitor people with dementia,EN
GDO_q16x1x2_2,Data used to routinely monitor people with dementia can be disaggregated,EN
GDO_q16x2_1,Availability of routine hospital admissions records for people with dementia for monitoring purposes,EN
GDO_q16x2_2,Availability of routine outpatient visit records for people with dementia for monitoring purposes,EN
GDO_q16x2_3,Availability of routine outpatient intervention and treatment records for people with dementia for monitoring purposes,EN
GDO_q16x2_4,Availability of routine pharmaceutical records for people with dementia for monitoring purposes,EN
GDO_q16x2_5,Availability of routine antipsychotic prescription records for people with dementia for monitoring purposes,EN
GDO_q16x3,Availability and status of dementia reporting in the past two years,EN
GDO_q17x1,Existence of a current dementia research plan/programme,EN
GDO_q17x1x1,Implementation level [national/subnational] of dementia research plan/programme,EN
GDO_q17x2,Dementia integrated into other national research plan/programme,EN
